Distritos,Renda
Alto de Pinheiros,9591.93
Perdizes,9348.58
Jardim Paulista,9327.12
Moema,9248.43
Santo Amaro,9159.73
Vila Leopoldina,8692.12
Morumbi,8347.66
Pinheiros,8310.20
Itaim Bibi,8060.27
Consolação,8035.16
Vila Mariana,7904.87
Campo Belo,7898.93
Lapa,7595.70
Butantã,7142.25
Vila Andrade,7070.82
Vila Sônia,7020.62
Saúde,6953.38
Barra Funda,6863.34
Santana,6385.73
Bela Vista,6047.44
Campo Grande,5899.23
Liberdade,5852.47
Cambuci,5772.87
Mooca,5741.03
Tatuapé,5694.57
Socorro,5665.66
Mandaqui,5346.82
Santa Cecília,5259.31
Ipiranga,5044.54
Jabaquara,5028.61
Tucuruvi,5001.68
Vila Guilherme,4930.00
Jaguaré,4885.74
Água Rasa,4776.10
Vila Formosa,4689.42
República,4616.70
Casa Verde,4599.38
Vila Prudente,4460.49
Jaguara,4380.06
Belém,4354.01
Rio Pequeno,4285.37
São Domingos,4259.13
Bom Retiro,4214.54
Raposo Tavares,4140.98
Freguesia do Ó,4088.71
Sé,4071.33
Cursino,4061.12
Carrão,4058.53
Sacomã,4035.47
Penha,3995.96
Vila Medeiros,3981.58
Pirituba,3948.51
Parque do Carmo,3807.26
Limão,3807.16
Pari,3771.03
Ponte Rasa,3752.12
Cidade Dutra,3746.47
Cidade Líder,3744.68
Campo Limpo,3705.31
Vila Maria,3634.90
Vila Matilde,3631.38
Artur Alvim,3604.44
Jaçanã,3550.27
Cachoeirinha,3539.92
São Mateus,3534.51
Ermelino Matarazzo,3517.19
Aricanduva,3452.87
São Miguel,3435.50
Itaquera,3425.36
Capão Redondo,3370.88
Iguatemi,3362.10
Cangaíba,3361.40
Brás,3332.92
Tremembé,3200.67
José Bonifácio,3186.77
São Lucas,3154.55
Cidade Ademar,3144.19
Jardim Helena,3130.89
Jardim São Luís,3115.08
Vila Curuçá,3092.73
Guaianases,3071.60
Sapopemba,3067.65
Pedreira,3065.07
Grajaú,2928.30
Anhanguera,2927.07
Jaraguá,2921.89
Vila Jacuí,2921.17
Marsilac,2881.56
Brasilândia,2866.37
Jardim Ângela,2813.27
Itaim Paulista,2790.62
São Rafael,2771.43
Cidade Tiradentes,2761.13
Parelheiros,2644.09
Perus,2642.91
Lajeado,2628.63
